1.1 Αὐτάρχως αὐτάρχως αὐτάρχως
1.1 ἐν ἐν ἐν
1.1 τοῖς τοῖς ὁ
1.1 πρὸ πρὸ πρό
1.1 τούτων τούτων οὗτος
1.1 ἐκ ἐκ ἐκ
1.1 πολλῶν πολλῶν πολύς
1.1 ὀλίγα ὀλίγα ὀλίγος
1.1 διαλαβόντες διαλαβόντες διαλαμβάνω
1.1 περὶ περὶ περί
1.1 τῆς τῆς ὁ
1.1 τῶν τῶν ὁ
1.1 ἐθνῶν ἐθνῶν ἔθνος
1.1 περὶ περὶ περί
1.1 τὰ τὰ ὁ
1.1 εἴδωλα εἴδωλα εἴδωλον
1.1 πλάνης πλάνης πλάνη
1.1 καὶ καὶ καί
1.1 τῆς τῆς ὁ
1.1 τούτων τούτων οὗτος
1.1 δεισιδαιμονίας, δεισιδαιμονίας δεισιδαιμονία
1.1 πῶς πῶς πῶς
1.1 ἐξ ἐξ ἐκ
1.1 ἀρχῆς ἀρχῆς ἀρχή
1.1 τούτων τούτων οὗτος
1.1 γέγονεν γέγονεν γίγνομαι
1.1 ἡ ἡ ὁ
1.1 εὕρεσις, εὕρεσις εὕρεσις
1.1 ὅτι ὅτι ὅτι
1.1 ἐκ ἐκ ἐκ
1.1 κακίας κακίας κακία
1.1 οἱ οἱ ὁ
1.1 ἄνθρωποι ἄνθρωποι ἄνθρωπος
1.1 ἑαυτοῖς ἑαυτοῖς ἑαυτοῦ
1.1 τὴν τὴν ὁ
1.1 πρὸς πρὸς πρός
1.1 τὰ τὰ ὁ
1.1 εἴδωλα εἴδωλα εἴδωλον
1.1 θρησκείαν θρησκείαν θρησκεία
1.1 ἐπενόησαν· ἐπενόησαν ἐπινοέω
1.1 ἀλλὰ ἀλλὰ ἀλλά
1.1 γὰρ γὰρ γάρ
1.1 χάριτι χάριτι χάρις
1.1 Θεοῦ θεοῦ θεός
1.1 σημάναντες σημάναντες σημαίνω
1.1 ὀλίγα ὀλίγα ὀλίγος
1.1 καὶ καὶ καί
1.1 περὶ περὶ περί
1.1 τῆς τῆς ὁ
